institution,label,institution_state,statefips
00239400,Winona State University,MN,27
00245400,University of Central Missouri,MO,29
00245900,Crowder College,MO,29
00246600,Harris - Stowe State University,MO,29
00246800,Jefferson College,MO,29
00247100,Saint Louis Community College,MO,29
00247900,Lincoln University,MO,29
00248400,Metropolitan Community College,MO,29
00248600,Mineral Area College,MO,29
00248800,Missouri Southern State University,MO,29
00249000,Missouri Western State University,MO,29
00249100,Moberly Area Community College,MO,29
00249500,Truman State University,MO,29
00249600,Northwest Missouri State University,MO,29
00250100,Southeast Missouri State University,MO,29
00250300,Missouri State University,MO,29
00251400,North Central Missouri College,MO,29
00251600,University of Missouri - Columbia,MO,29
00251700,Missouri University of Science and Technology,MO,29
00251800,University of Missouri - Kansas City,MO,29
00251900,University of Missouri - Saint Louis,MO,29
00252800,Miles Community College,MT,30
00252900,Dawson Community College,MT,30
00253000,Montana State University - Billings,MT,30
00253100,Montana Technological University,MT,30
00253200,Montana State University Bozeman,MT,30
00253300,Montana State University - Northern,MT,30
00253600,University of Montana (The),MT,30
00253700,University of Montana Western (The),MT,30
00268700,CUNY Brooklyn College,NY,36
00268800,City College of New York - CUNY,NY,36
00268900,CUNY Hunter College,NY,36
00269000,CUNY Queens College,NY,36
00269100,CUNY Borough of Manhattan Community College,NY,36
00269200,CUNY Bronx Community College,NY,36
00269300,CUNY John Jay College of Criminal Justice,NY,36
00269400,Kingsborough Commmunity College/CUNY,NY,36
00269600,New York City College of Technology of the City University of New York,NY,36
00269700,Queensborough Community College-CUNY,NY,36
00269800,College of Staten Island/CUNY,NY,36
00283500,State University of New York at Albany,NY,36
00283600,Binghamton University,NY,36
00283700,State University of New York at Buffalo,NY,36
00283800,State University of New York at Stony Brook,NY,36
00283900,State University of New York Downstate Medical Center,NY,36
00284000,State University of New York Upstate Medical University,NY,36
00284100,State University of New York College at Brockport,NY,36
00284200,SUNY College at Buffalo,NY,36
00284300,SUNY College at Cortland,NY,36
00284400,SUNY at Fredonia,NY,36
00284500,SUNY College at Geneseo,NY,36
00284600,State University of New York at New Paltz,NY,36
00284700,"State University of New York, College at Oneonta",NY,36
00284800,State University of New York at Oswego,NY,36
00284900,State University of New York College at Plattsburgh,NY,36
00285000,State University of New York College at Potsdam,NY,36
00285100,SUNY College of Environment Science & Forestry,NY,36
00285300,SUNY Maritime College,NY,36
00285400,SUNY College of Technology at Alfred,NY,36
00285500,State University of New York College of Technology at Canton,NY,36
00285600,SUNY College of Agriculture & Technology at Cobleskill,NY,36
00285700,SUNY College of Technology at Delhi,NY,36
00285800,State University of New York at Farmingdale,NY,36
00285900,SUNY College of Agriculture & Technology at Morrisville,NY,36
00286000,Adirondack Community College - SUNY Office of Community Colleges,NY,36
00286100,Cayuga Community College - SUNY Office of Community College,NY,36
00286200,SUNY Broome Community College,NY,36
00286300,Corning Community College - SUNY Office of Community Colleges,NY,36
00286400,Dutchess Community College,NY,36
00286600,Fashion Institute of Technology,NY,36
00286700,SUNY Fulton-Montgomery Community College,NY,36
00286800,Hudson Valley Community College,NY,36
00286900,Jamestown Community College,NY,36
00287000,Jefferson Community College,NY,36
00287100,"SUNY,Mohawk Valley Community College",NY,36
00287200,Monroe Community College,NY,36
00287300,Nassau Community College,NY,36
00287400,Niagara County Community College,NY,36
00287500,Onondaga Community College,NY,36
00287600,Orange County Community College,NY,36
00287700,Rockland Community College,NY,36
00287800,Suffolk County Community College,NY,36
00287900,Sullivan County Community College,NY,36
00288000,Ulster County Community College,NY,36
00288100,SUNY Westchester Community College,NY,36
00301800,Bowling Green State University,OH,39
00302600,Central State University,OH,39
00303200,Cleveland State University,OH,39
00304000,Cuyahoga Community College,OH,39
00304600,Franklin University,OH,39
00305100,Kent State University,OH,39
00306800,Lorain County Community College,OH,39
00307700,Miami University,OH,39
00307800,Wright State University,OH,39
00309000,Ohio State University,OH,39
00310000,Ohio University,OH,39
00311600,University of Rio Grande,OH,39
00311900,Sinclair Community College,OH,39
00312300,University of Akron (The),OH,39
00312500,University of Cincinnati,OH,39
00313100,University Of Toledo,OH,39
00314500,Youngstown State University,OH,39
00314600,Western Oklahoma State College,OK,40
00315000,Cameron University,OK,40
00315200,University of Central Oklahoma,OK,40
00315300,Connors State College,OK,40
00315400,East Central University,OK,40
00315500,Eastern Oklahoma State College,OK,40
00315600,Redlands Community College,OK,40
00315700,Langston University,OK,40
00315800,Murray State College,OK,40
00316000,Northeastern Oklahoma A & M College,OK,40
00316100,Northeastern State University,OK,40
00316200,Northern Oklahoma College,OK,40
00316300,Northwestern Oklahoma State University,OK,40
00316700,University of Science & Arts of Oklahoma,OK,40
00316800,Rogers State University,OK,40
00317000,Oklahoma State University,OK,40
00317200,Oklahoma State University Institute of Technology - Okmulgee,OK,40
00317400,Oklahoma Panhandle State University,OK,40
00317600,Carl Albert State College,OK,40
00317800,Seminole State College,OK,40
00317900,Southeastern Oklahoma State University,OK,40
00318100,Southwestern Oklahoma State University,OK,40
00318400,University of Oklahoma,OK,40
00318401,University of Oklahoma - Health Sciences Center,OK,40
00318600,Blue Mountain Community College,OR,41
00318800,Central Oregon Community College,OR,41
00318900,Clatsop Community College,OR,41
00319300,Eastern Oregon University,OR,41
00319600,Lane Community College,OR,41
00320400,Mount Hood Community College,OR,41
00320900,Western Oregon University,OR,41
00321000,Oregon State University,OR,41
00321100,Oregon Institute of Technology,OR,41
00321300,Portland Community College,OR,41
00321600,Portland State University,OR,41
00321800,Chemeketa Community College,OR,41
00321900,Southern Oregon University,OR,41
00322000,Southwestern Oregon Community College,OR,41
00322100,Treasure Valley Community College,OR,41
00322200,Umpqua Community College,OR,41
