institution,label,institution_state,statefips
01053000,Quinebaug Valley Community College,CT,09
01054600,Century College,MN,27
01063300,Houston Community College,TX,48
01067400,Texas Tech University Health Sciences Center,TX,48
01068400,Erie Community College,NY,36
01073600,Marion Technical College,OH,39
01088100,Stark State College,OH,39
01099700,East Georgia State College,GA,13
01104600,Central Ohio Technical College,OH,39
01114500,Lone Star College System,TX,48
01115000,Asnuntuck Community College,CT,09
01116100,Texas A&M University - Corpus Christi,TX,48
01116300,University of Texas at Tyler,TX,48
01116500,Uintah Basin Technical College,UT,49
01121000,Bunker Hill Community College,MA,25
01122000,Windward Community College,HI,15
01128200,Oklahoma State University Center for Health Sciences,OK,40
01167800,State University of New York Polytechnic Institute,NY,36
01171100,University of Houston-Clear Lake,TX,48
01193000,Roxbury Community College,MA,25
01201500,Austin Community College,TX,48
01216500,Atlanta Metropolitan  State College,GA,13
