institution code,institution name,State
522000,Salt Lake Community College,Utah
522300,New River Community College,Virginia
525200,Ridgewater College,Minnesota
525800,Hawaii Community College,Hawaii
526300,Minnesota West Community and Technical College,Minnesota
527600,Central Maine Community College,Maine
527700,Eastern Maine Community College,Maine
530900,Lake Area Technical College,South Dakota
531300,North Central State College,Ohio
536300,Denmark Technical College,South Carolina
546700,SOWELA Technical Community College,Louisiana
548900,Central Louisiana Technical Community College,Louisiana
552500,Southern Maine Community College,Maine
553300,Saint Paul College,Minnesota
553400,St Cloud Technical and Community College,Minnesota
553500,Pine Technical & Community College,Minnesota
553700,South Central College,Minnesota
554100,Minnesota State Community and Technical College,Minnesota
554400,Alexandria Technical & Community College,Minnesota
559600,Emily Griffith Technical College,Colorado
575300,Owens Community College,Ohio
575700,Lake Superior College,Minnesota
575900,Northwest Technical College,Minnesota
576000,Northern Maine Community College,Maine
576100,Fletcher Technical Community College,Louisiana
638510,Chamberlain University-Indiana,Indiana
666100,Angelina College,Texas
675600,Northshore Technical Community College,Louisiana
676000,University of Maine at Augusta,Maine
677700,Flathead Valley Community College,Montana
678200,Genesee Community College,New York
678500,Schenectady County Community College,New York
678700,Clinton Community College,New York
678800,Tompkins Cortland Community College,New York
678900,Columbia-Greene Community College,New York
679100,SUNY at Purchase College,New York
680400,Lakeland Community College,Ohio
681500,Orangeburg Calhoun Technical College,South Carolina
681900,Blue Ridge Community College,Virginia
686700,Columbus State Community College,Ohio
687100,Virginia Peninsula Community College,Virginia
693800,Linn-Benton Community College,Oregon
695100,University of South Carolina-Upstate,South Carolina
698200,Naugatuck Valley Community College,Connecticut
702200,CUNY Lehman College,New York
709600,College of the Mainland,Texas
709900,Virginia Highlands Community College,Virginia
710900,SUNY College at Old Westbury,New York
711100,North Country Community College,New York
712000,Des Moines Area Community College,Iowa
726000,Southwest Virginia Community College,Virginia
726300,Holy Cross College,Indiana
727300,CUNY Bernard M Baruch College,New York
727500,Eastern Gateway Community College,Ohio
728700,Brazosport College,Texas
728900,Central Wyoming College,Wyoming
731600,Western Iowa Tech Community College,Iowa
735000,Anoka Technical College,Minnesota
753200,Finger Lakes Community College,New York
757000,Helena College University of Montana,Montana
758200,Aims Community College,Colorado
759800,Hocking College,Ohio
760200,Northeastern Technical College,South Carolina
763500,Capital Community College,Connecticut
768600,Southern University at Shreveport,Louisiana
776400,Southeast Technical College,South Dakota
793300,Front Range Community College,Colorado
793800,Lincoln College of Technology-Indianapolis,Indiana
795400,Normandale Community College,Minnesota
803800,Middlesex Community College,Connecticut
806700,Louisiana State University Health Sciences Center-Shreveport,Louisiana
808000,State Fair Community College,Missouri
813300,Zane State College,Ohio
827800,Terra State Community College,Ohio
828400,Mitchell Technical College,South Dakota
840300,Indian Hills Community College,Iowa
861100,CUNY Hostos Community College,New York
865900,Laurel Ridge Community College,Virginia
866000,Germanna Community College,Virginia
866100,Southside Virginia Community College,Virginia
867700,Northwest State Community College,Ohio
886200,East Central College,Missouri
889600,Pikes Peak State College,Colorado
897600,Clayton  State University,Georgia
905800,Bethel University,Minnesota
915900,Paul D Camp Community College,Virginia
916000,Rappahannock Community College,Virginia
916300,San Antonio College,Texas
922600,Francis Marion University,South Carolina
923100,Washington County Community College,Maine
925900,Laramie County Community College,Wyoming
931400,Great Falls College Montana State University,Montana
932200,Williamsburg Technical College,South Carolina
950700,Georgia Highlands College,Georgia
954200,Community College of Denver,Colorado
954300,Red Rocks Community College,Colorado
954900,Western Texas College,Texas
962900,Mountain Empire Community College,Virginia
